Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
26-1821,Stainless Steel Scissor with Black Handle Zhao Sheng Brand,96,101,Kitchen,Cooking and Food Preparation,Scissors,https://fixit.com.bd/wp-content/uploads/2020/01/26-1821A.jpg
26-3442,Pink Small Rubber Hand Gloves for Kitchen & Cleaning,97,102,Kitchen,Small Appliances,Hand Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/26-3442A.jpg
33-113,10mm x 5 Meter Nylon rope HMBR Brand,105,105,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-113A.jpg
04-604,17mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,100,105,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-604A.jpg
26-3196,Stainless Steel Can Opener with Bottle Opener,102,107,Kitchen,Cooking and Food Preparation,Can Openers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3196A.jpg
26-3340,2 Pcs Pack Pink & Yellow Steel Wool Sponge,57,57,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,https://fixit.com.bd/wp-content/uploads/2020/01/26-3340A.jpg
05-1261,25mm Antique Copper Color Pipe Socket Victorian Cut Design,103,108,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,https://fixit.com.bd/wp-content/uploads/2020/01/05-1261-web.jpg
26-1753,Plastic Metal Household Food Clamp Clip Large Size Bread Tong,105,110,Kitchen,Cooking and Food Preparation,Tongs and Forks,https://fixit.com.bd/wp-content/uploads/2020/01/26-1753A.jpg
26-1796,Plastic Lemon Orange & Fruit Juicer Squeezer with Cup,105,110,Kitchen,Small Appliances,Kitchen Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-1796A.jpg
26-1831,Traditional Stainless Steel Food Tongs,105,110,Kitchen,Cooking and Food Preparation,Tongs and Forks,https://fixit.com.bd/wp-content/uploads/2020/01/26-1831A.jpg
26-3162,Off White Color Cloth Brush,105,110,Cleaning,Cleaning Tools and Supplies,Cloth Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-3162A.jpg
26-3436,White & Pink Kitchen Cleaner Sponge Pair,105,110,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,https://fixit.com.bd/wp-content/uploads/2020/01/26-3436A.jpg
26-3457,Steel Wool With Small Plastic Handle for better grip & faster clean,105,110,Kitchen,Small Appliances,Scrubbers and Sponges,https://fixit.com.bd/wp-content/uploads/2020/01/26-3457A.jpg
18-134,12 Inch Iron Sickle with Wooden Handle HMBR Brand,106,106,Lawn and Garden,Garden Tools,Gardening Tools,https://fixit.com.bd/wp-content/uploads/2020/01/18-134A.jpg
24-011,100 ml Draino Powder Drain Cleaner/Clog Remover HMBR Brand,90,90,Plumbing,Drain Openers,Chemical Drain Cleaners|Qurbani Specials,https://fixit.com.bd/wp-content/uploads/2020/01/24-011-web.jpg
20-1213,14 Inch Size 350mm Off-White Color 24 Pcs Packet Cable Tie,114,120,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-1213A.jpg
26-3234,Stainless Steel Key Holder with Key Ring Rimei Brand,114,120,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/01/26-3234A.jpg
26-3766,(1 Kg Capacity) 3 Pcs FishStar &amp; Squid Multi Color Adhesive Picture Hook (Sticks to Wall),86,86,Tools and Hardware,Fasteners,Picture and Mirror Hanging,https://fixit.com.bd/wp-content/uploads/2020/01/26-3336A.jpg
26-3430,Metal Pet Dogs Key Holder Puppy Key Ring,114,120,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/01/26-3430A.jpg
26-3465,Green Color Cloth Brush with Plastic handle,114,120,Cleaning,Cleaning Tools and Supplies,Cloth Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-3465A.jpg
26-3474,(1.5 Kg Capacity) 2 Pcs Green Color Hand and Foot Adhesive Picture Hook (Sticks to Wall),114,120,Tools and Hardware,Fasteners,Picture and Mirror Hanging,https://fixit.com.bd/wp-content/uploads/2020/01/26-3474B.jpg
28-098,150 gm Liquid Rat killing Poison,114,120,Lawn and Garden,Insect and Pest Control,Animal and Rodent Control,https://fixit.com.bd/wp-content/uploads/2020/01/28-098-web.jpg
36-467,15mm Stapler Pin Kangaro Brand,86,86,Storage and Organization,Office Supplies,Stapler Pins,https://fixit.com.bd/wp-content/uploads/2020/01/36-467A.jpg
36-468,17mm Stapler Pin Kangaro Brand,86,86,Storage and Organization,Office Supplies,Stapler Pins,https://fixit.com.bd/wp-content/uploads/2020/01/36-468B.jpg
20-1299,Green Color Tin Suction Pump WynnÂ’s Brand,120,126,Tools and Hardware,Welding &amp; Soldering,Soldering,https://fixit.com.bd/wp-content/uploads/2020/01/20-1299A.jpg
26-3237,Stainless Steel Scissor Rimei Brand,123,129,Tools and Hardware,Hand Tools,Scissors,https://fixit.com.bd/wp-content/uploads/2020/01/26-3237A.jpg
26-775,1.5 Volts AAA-Size Alkaline Battery Maxell Brand,95,95,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/01/26-775-web.jpg
26-1697,1.5 Volts AA Size Alkaline Battery Maxell Brand,103,103,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/01/26-1697-web.jpg
26-1747,2 Pcs Packet 1.5 Volts AAA Size Alkaline Battery Sony Brand,103,103,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/01/26-1747A.jpg
26-1759,Stainless Steel Egg Separator â€“ Keeps the Yolk and Drains Egg White,114,114,Kitchen,Cooking and Food Preparation,Egg Separator,https://fixit.com.bd/wp-content/uploads/2020/01/26-1759A.jpg
27-045,Transparent Safety Goggles HMBR Brand,120,120,Tools and Hardware,Safety Gear and Equipment,Safety Gear,https://fixit.com.bd/wp-content/uploads/2020/01/27-045.jpg
05-1438,Antique Copper Color Double Coat Hook Victorian Cut Design,133,140,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/01/05-1438A.jpg
05-1594,96mm Furniture Doba Handle Victorian Design,133,140,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1594A.jpg
26-2757,White & Yellow Color Plastic Egg Separator - Keeps the Yolk and Drains Egg White,133,140,Kitchen,Cooking and Food Preparation,Bakeware,https://fixit.com.bd/wp-content/uploads/2020/01/26-2757A.jpg
19-1036,48 Inch Stainless Steel Aluminium Connection Pipe HMBR Brand,162,162,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,https://fixit.com.bd/wp-content/uploads/2020/01/19-1036A.jpg
06-305,3 Digit Resettable Combination Padlock Changhao Brand,143,150,Tools and Hardware,Safety and Security,Pad Locks,https://fixit.com.bd/wp-content/uploads/2020/01/06-305A.jpg
26-3373,Red Large Rubber Hand Gloves for Kitchen & Cleaning,143,150,Kitchen,Small Appliances,Hand Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/26-3373A.jpg
01-023,1.75 Inch Planer Iron HMBR Brand,128,128,Tools and Hardware,Hand Tools,Planes,https://fixit.com.bd/wp-content/uploads/2020/01/01-023A.jpg
05-488,Heavy Duty Glass Shelf Holder HMBR Brand (4 Pcs Pack for 2 Shelves),135,135,Bath and Faucets,Bathroom Accessories and Hardware,Bath Shelves,https://fixit.com.bd/wp-content/uploads/2020/01/05-488A.jpg
26-2380,12 Inch Metal Rat Trap Box,150,150,Lawn and Garden,Insect and Pest Control,Animal and Rodent Control,https://fixit.com.bd/wp-content/uploads/2020/01/26-2380-web.jpg
04-605,21mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,152,160,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-605A.jpg
05-1567,128mm Antique Brass Color Furniture Handle Victorian Design 8036,152,160,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1567A.jpg
05-1568,128mm Antique Copper Color Furniture Handle Victorian Design 8710,152,160,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1568A.jpg
05-1573,96mm Antique Brass Color Furniture Handle Victorian Design 8005,152,160,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1573A.jpg
05-1591,96mm Antique Copper Color Furniture Handle 8005,152,160,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1591A.jpg
26-2035,Black Bottle Opener with Cork Screw and Knife,152,160,Kitchen,Cooking and Food Preparation,Can Openers,https://fixit.com.bd/wp-content/uploads/2020/01/26-2035A.jpg
26-3372,300  ml Yellow & White Color Plastic Spray Bottle - Garden Kitchen,152,160,Cleaning,Cleaning Tools and Supplies,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/26-3372A.jpg
05-1044,14 Inch 3 Folding Ball Ball Bearing Drawer Channel,156,164,Tools and Hardware,Cabinet and Furniture Hardware,Drawer Channel,https://fixit.com.bd/wp-content/uploads/2020/01/05-1044A.jpg
05-1051,8 Inch Length Antique Copper Color Stainless Steel Tower Bolt (Chitkani),157,165,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1051A.jpg
05-1052,8 Inch Length Antique Brass Color Stainless Steel Tower Bolt (Chitkani),157,165,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1052A.jpg
26-719,150 Pcs Packet Naphthalene Balls,149,149,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,https://fixit.com.bd/wp-content/uploads/2020/01/26-719-web.jpg
05-1549,128mm Antique Brass Color Furniture Handle Victorian Design 8002,171,180,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1549A.jpg
05-1566,4 Inch Aluminum Silver Color Furniture Doba Handle,171,180,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1566A.jpg
05-1571,128mm Antique Copper Color Furniture Handle Victorian Design 8002,171,180,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1571A.jpg
05-1574,96mm Stainless Steel Silver Color Furniture Handle Minimalist Design,171,180,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1574A.jpg
05-1583,128mm Antique Copper Color Furniture Handle 8016,171,180,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1583A.jpg
26-3331,Green Large Rubber Hand Gloves for Kitchen & Cleaning,170,170,Kitchen,Small Appliances,Hand Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/26-3331A.jpg
26-3344,Stainless Steel Kitchen Scissor Tong Yellow Plastic Handle for Hot Foods,171,180,Kitchen,Small Appliances,Kitchen Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3344A.jpg
26-3378,300  ml Green Color Small Spray Bottle,171,180,Cleaning,Cleaning Tools and Supplies,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/26-3378A.jpg
29-163,2 Inch x 0.50 mm Multi Color Duct Tape SOMITAPE Brand,171,180,Paint,Duct Tape Glues and Epoxy,Painters Tape and Duct Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-163.jpg
26-2537,Plastic Pink & White Corek Screw Wine Opener,172,180,Kitchen,Wine and Bar Tools,Wine Openers,https://fixit.com.bd/wp-content/uploads/2020/01/26-2537A.jpg
33-030,0.20 Inch Heavy Duty Traditional Brown Cotton Rope,203,203,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-030-web.jpg
30-042,400 ml Rose Pink Color Spray Paint Bosny Brand,238,238,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/Rose-Pink-1.jpg
05-1554,4 Inch Aluminum Silver Color Furniture Hollow Cabinet Handle,181,190,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1554.jpg
26-3454,300  ml Green Color Spray Bottle,105,105,Cleaning,Cleaning Tools and Supplies,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/26-3454A.jpg
26-2081,Adult Size Light Weight & Reusable Raincoat,162,162,Cleaning,Personal Care,Rain Coat,https://fixit.com.bd/wp-content/uploads/2020/01/26-2081A.jpg
40-286,10 Pcs Multi Color Stick Pet Dog Chewing Food,200,210,Outdoor Living,Pet Supplies and Wildlife,Pet Dog Feeding Supplies,https://fixit.com.bd/wp-content/uploads/2020/01/40-286A.jpg
15-002,12 Inch Orange Color Spirit Level HMBR Brand,240,240,Tools and Hardware,Hand Tools,Measure and Layout Tools,https://fixit.com.bd/wp-content/uploads/2020/01/15-002-web.jpg
18-049,Black Color Plastic Hose Pipe Holder Pipe Wrapper,238,238,Lawn and Garden,Watering and Irrigation,Pipe Holders,https://fixit.com.bd/wp-content/uploads/2020/01/18-049A.jpg
40-114,6 Inch 2 Pcs Packet Yellow Rubber Pet Dog Bone Chewing Toy,208,220,Outdoor Living,Pet Supplies and Wildlife,Pet Dog Supplies,https://fixit.com.bd/wp-content/uploads/2020/01/40-114.jpg
26-3314,Stainless Steel Heavy Duty Can Opener with Dual Bottle Opener,214,225,Kitchen,Cooking and Food Preparation,Can Openers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3314A.jpg
06-303,3 Digit Black Color Resettable Combination Padlock Lock Changhao Brand,238,250,Tools and Hardware,Safety and Security,Pad Locks,https://fixit.com.bd/wp-content/uploads/2020/01/06-303A.jpg
26-1780,6 Inch Stainless Steel Tong With Plastic Black Handle,238,250,Kitchen,Cooking and Food Preparation,Tongs and Forks,https://fixit.com.bd/wp-content/uploads/2020/01/26-1780-web.jpg
26-3476,Stainless Steel Large Size BBQ Tray & Tong with Wooden Handle,238,250,Kitchen,Small Appliances,Barbecue Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3476A.jpg
05-862,128mm Antique Brass Color Furniture Handle 292,220,220,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-862A.jpg
19-527,Stainless Steel Single Outlet Mixer Kitchen Faucet including 2 pcs Aluminium Connection Pipe,428,428,Bath and Faucets,Bath Faucets and Shower heads,Kitchen Faucets,https://fixit.com.bd/wp-content/uploads/2020/01/19-527A.jpg
26-3353,Foam Mop Glass Wiper with Handle,245,260,Cleaning,Cleaning Tools and Supplies,Mops and Mop Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3353A.jpg
13-244,12mm Metal Twist Drill Bit Wynn's Brand,260,274,Tools and Hardware,Power Tool Accessories,Drill Bits,https://fixit.com.bd/wp-content/uploads/2020/01/13-244-web.jpg
05-1045,16 Inch 3 Folding Ball Bearing Drawer Channel,262,276,Tools and Hardware,Cabinet and Furniture Hardware,Drawer Channel,https://fixit.com.bd/wp-content/uploads/2020/01/05-1044.jpg
30-046,400 ml Clear Lacquer Glossy Spray Paint Bosny Brand,242,242,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/30-046.jpg
30-135,400 ml Grass Green Color Spray Paint Bosny Brand,240,240,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/grass-green.jpg
30-136,400 ml River Blue Color Acrylic Spray Paint Bosny Brand,240,240,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/River-Blue.jpg
30-490,400 ml Vespa White Color Acrylic Spray Paint Bosny Brand,242,242,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/vespa-white.jpg
27-122,3 Pcs Safety Protection Set Ear Protector Dust Mask and Safety Goggle HMBR Brand,150,330,Tools and Hardware,Safety and Security,Hearing Protection,https://fixit.com.bd/wp-content/uploads/2020/01/27-122-web.jpg
01-1006,1 2 & 3 Inch Size 3 Pcs Clamp Set Red Color HMBR Brand,260,278,Tools and Hardware,Hand Tools,Clamps and Vises,https://fixit.com.bd/wp-content/uploads/2020/01/01-1006.jpg
05-1487,96 mm Antique Copper Color Furniture Handle Victorian Cut Design,361,361,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1487A.jpg
26-2859,1.2 Liter All purpose Cleaner Evergreen H2O Brand,303,319,Cleaning,Household Cleaners,All Purpose Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-2859A.jpg
33-023,102 gm 0.20 Inch Yellow Color Polyester/Nylon Rope,279,279,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-023-web.jpg
40-109,8 Inch Yellow Rubber Pet Dog Bone Chewing Toy,304,320,Outdoor Living,Pet Supplies and Wildlife,Pet Dog Supplies,https://fixit.com.bd/wp-content/uploads/2020/01/40-109-web.jpg
01-1027,240 Volt 50/60Hz 60W Glue Gun HMBR Brand with Cord Fast Heating High Quality,290,290,Paint,Duct Tape Glues and Epoxy,Glues and Epoxy,https://fixit.com.bd/wp-content/uploads/2020/01/01-1027-2.jpg
26-1734,900g Liquid Good Maid Mosaic Cleaner,340,340,Cleaning,Household Cleaners,Floor Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-1734.jpg
27-072,Mens Black Color Leather Half Finger Hand Gloves Bikers Gloves for Use with Motor Bikes,288,288,Tools and Hardware,Safety Gear and Equipment,Work Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/27-072.jpg
19-305,High Pressure Multi Function Water Jet Spray Gun Brass Hose Nozzle HMBR Brand,293,293,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/19-305A.jpg
26-217,100  ml Metal Polish for Silver Gold Aluminium &amp; Chrome Silvo Brand,333,333,Cleaning,Cleaning Tools and Supplies,Metal Polish,https://fixit.com.bd/wp-content/uploads/2020/01/26-217A.jpg
27-048,Green &amp; Orange Color Safety Security Vest,247,247,Tools and Hardware,Safety Gear and Equipment,Life Jackets &amp; Vests,https://fixit.com.bd/wp-content/uploads/2020/01/27-048-web.jpg
26-3367,7 Pcs Stainless Steel Manicure Set J-0487 with Cuticle clipper Nail Cutter Scissors Dirt Remover and File,330,347,Cleaning,Personal Care,Nail Care,https://fixit.com.bd/wp-content/uploads/2020/01/26-3367A.jpg
06-301,3 Digit Golden Color Resettable Combination Padlock Changhao Brand,333,350,Tools and Hardware,Safety and Security,Pad Locks,https://fixit.com.bd/wp-content/uploads/2020/01/06-301A.jpg
26-2997,60 m x 30 cm Clear Plastic Food Wrapper GIANUO Brand Saran Wrap,333,350,Kitchen,Kitchen Storage and Organization,Clear Foil,https://fixit.com.bd/wp-content/uploads/2020/01/26-2997A.jpg
19-832,White Color Plastic Wall Mounting Soap Dispenser,307,307,Bath and Faucets,Bathroom Accessories and Hardware,Soap Dishes,https://fixit.com.bd/wp-content/uploads/2020/01/19-832A.jpg
05-1286,22 Inch Ball Ball Bearing Drawer Channel,359,378,Tools and Hardware,Cabinet and Furniture Hardware,Drawer Channel,https://fixit.com.bd/wp-content/uploads/2020/01/05-1286A.jpg
28-109,250 ml Bed-Bug Control Spray (Spray on Bed to remove Bed Bugs),340,340,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,https://fixit.com.bd/wp-content/uploads/2020/01/kill-bug.jpg
01-416,10.5 Inch Empty Plastic Tool Box HMBR Brand,370,389,Tools and Hardware,Tools Storage,Portable Tool Boxes,https://fixit.com.bd/wp-content/uploads/2020/01/01-416-web.jpg
03-030,4 Pcs Carbide Steel Hole Saw Set HMBR Brand used for Door Lock Installation,245,245,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,https://fixit.com.bd/wp-content/uploads/2020/01/03-030-web.jpg
05-1602,6 Inch Golden Color Stainless Steel Tower Bolt (Chitkani),374,393,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1602A.jpg
05-1477,96 mm Antique Brass Color Furniture Handle Victorian Cut Design,375,395,Tools and Hardware,Cabinet and Furniture Hardware,,https://fixit.com.bd/wp-content/uploads/2020/01/05-1477A.jpg
05-1596,96mm Antique Copper Color Furniture Handle L158,390,410,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-1596A.jpg
30-280,400 ml Deep Green Color Spray Paint Bosny Brand,365,365,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/Deep-Grean.jpg
06-304,4 Digit Stainless Steel Resettable Combination Padlock Lock Changhao Brand,409,430,Tools and Hardware,Safety and Security,Pad Locks,https://fixit.com.bd/wp-content/uploads/2020/01/06-304A.jpg
14-039,4 Inch Cutting Plier with Plastic Handle Wynn's Brand,485,485,Tools and Hardware,Hand Tools,Pliers,https://fixit.com.bd/wp-content/uploads/2020/01/14-039-web.jpg
18-294,5 Pcs Connector Wide Spray Gun for Different Size Pipe,418,440,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/18-294A.jpg
