Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
26-2788,6 Inch Stainless Steel Scissor Dragon Design Heavy Duty,385,385,Tools and Hardware,Hand Tools,Scissors,https://fixit.com.bd/wp-content/uploads/2020/01/26-2788-web.jpg
05-1601,6 Inch Antique Copper Color Stainless Steel Tower Bolt (Chitkani),424,446,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1601A.jpg
03-108,60mm Metal Round Head Glass Cutter,428,450,Tools and Hardware,Hand Tools,Glass Cutters,https://fixit.com.bd/wp-content/uploads/2020/01/03-108-web.jpg
30-255,400 ml Silver Color Spray Paint Bosny Brand,238,238,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/bosny-silver-spray-paint-400cc.jpg
05-1069,Antique Brass Color Fish Eye Door Viewer Set EZ Brand,523,523,Tools and Hardware,Door Knobs and Hardware,Door Viewers,https://fixit.com.bd/wp-content/uploads/2020/01/05-1069.jpg
33-117,10mm x 30 Meter Nylon rope HMBR Brand,432,432,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-117A.jpg
13-242,13mm Metal Twist Drill Bit Wynn's Brand,485,510,Tools and Hardware,Power Tool Accessories,Drill Bits,https://fixit.com.bd/wp-content/uploads/2020/01/13-242-web.jpg
14-134,Mini Cutting Plier with Yellow Color Rubber Handle WynnÂ’s Brand,428,428,Tools and Hardware,Hand Tools,Pliers,https://fixit.com.bd/wp-content/uploads/2020/01/14-134-web.jpg
13-241,14mm Metal Twist Drill Bit Wynn's Brand,523,550,Tools and Hardware,Power Tool Accessories,Drill Bits,https://fixit.com.bd/wp-content/uploads/2020/01/13-241-web.jpg
26-2001,450  ml Spot Lifter and Remover Sprayway Brand,523,523,Cleaning,Household Cleaners,Cloth Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-2001A.jpg
26-2006,200gm Metal Polish Aluminium Silver Chrome BRASSO Brand,480,480,Cleaning,Cleaning Tools and Supplies,Metal Polish,https://fixit.com.bd/wp-content/uploads/2020/01/26-2006-web.jpg
05-1457,8 Inch Length Golden Color Stainless Steel Tower Bolt (Chitkani),557,586,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1457A.jpg
19-782,Portable Glass Body Liquid Soap Dispenser with Golden Chrome Outlet and Stainless Steel Stand,523,523,Bath and Faucets,Bathroom Accessories and Hardware,Soap Dishes,https://fixit.com.bd/wp-content/uploads/2020/01/19-782A.jpg
03-111,75mm Metal Round Head Glass Cutter Douniushi Matador Brand,580,610,Tools and Hardware,Hand Tools,Glass Cutters,https://fixit.com.bd/wp-content/uploads/2020/01/03-111A.jpg
26-1018,539g Glass Cleaner Sprayway Brand,630,630,Cleaning,Household Cleaners,Glass and Window Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-1018A.jpg
18-416,6 Inch Garden Spray Gun Heavy Duty,456,456,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/18-293A.jpg
26-2253,Stainless Steel Cork Screw Wine Opener,618,650,Kitchen,Wine and Bar Tools,Wine Openers,https://fixit.com.bd/wp-content/uploads/2020/01/26-2253A.jpg
27-123,Short Welding Leather Gloves HMBR Brand,605,605,Tools and Hardware,Safety Gear and Equipment,Work Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/27-123-web.jpg
05-1454,6 Inch Length Brass Color Stainless Steel Tower Bolt (Chitkani),713,750,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1454A.jpg
26-2787,7.5 Inch Stainless Steel Scissor Rimei Brand,713,750,Tools and Hardware,Hand Tools,Scissors,https://fixit.com.bd/wp-content/uploads/2020/01/26-2787A.jpg
26-3360,3 Pcs Stainless Steel Barbecue Kitchen Set includes Scraper Tong & Fork with Wooden Handle,713,750,Kitchen,Small Appliances,Barbecue Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3360A.jpg
26-1709,Precision Contact Cleaner Sprayway Brand,710,710,Cleaning,Household Cleaners,Electronic Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-1709A.jpg
05-1462,10 Inch Length Antique Copper Color Stainless Steel Tower Bolt (Chitkani),756,796,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1462A.jpg
09-181,5 Kg White Color Digital Weight Scale,638,638,Kitchen,Cooking and Food Preparation,ThermoMeter,https://fixit.com.bd/wp-content/uploads/2020/01/09-181A.jpg
19-744,Stainless Steel Wall Mounting Kitchen Tissue &amp; Paper Towel Holder Victory Brand,732,732,Kitchen,Small Appliances,Kitchen Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/19-744A.jpg
21-169,First and Clear Epoxy Glue Bondtite Brand,850,850,Paint,Duct Tape Glues and Epoxy,,https://fixit.com.bd/wp-content/uploads/2020/01/bondtite.jpg
26-3098,High Quality Stainless Steel Meat Cleaver Butchers Knife Cenka Brand Chapati,784,784,Tools and Hardware,Hand Tools,Knives and Blades|Qurbani Specials,https://fixit.com.bd/wp-content/uploads/2020/01/26-3098.jpg
27-066,Caution Wet Floor Floor Stand Up Sign for Office or Industry,1100,1100,Tools and Hardware,Safety and Security,Floor Signs,https://fixit.com.bd/wp-content/uploads/2020/01/27-066-web-1.jpg
05-1458,8 Inch Length Antique Brass Color Stainless Steel Tower Bolt (Chitkani),903,950,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/05-1458A.jpg
26-3422,Small Size Stainless Steel Bowl Strainer Heavy Duty,903,950,Kitchen,Cooking and Food Preparation,Strainers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3422A.jpg
20-1732,Electric Pest Killer Fly Catcher Mosquito Trap for Restaurant Household Special Use,1300,1400,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,https://fixit.com.bd/wp-content/uploads/2020/01/20-1732A.jpg
18-292,Green & Black Color Garden Hose Wide Water Spray Gun,998,1050,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/18-292A.jpg
26-3423,Medium Size Stainless Steel Bowl Strainer Heavy Duty,998,1050,Kitchen,Cooking and Food Preparation,Strainers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3423A.jpg
27-034,660  ml FIREBEATER Fire Extinguisher,1378,1378,Tools and Hardware,Safety and Security,Fire Extinguisher,https://fixit.com.bd/wp-content/uploads/2020/01/27-034-web.jpg
26-3265,White Color Touchless Automatic Liquid Soap Dispenser,1077,1077,Cleaning,Personal Care,Hand Soaps and Sanitizers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3265A.jpg
27-158,1000  ml FIRESTOP Fire extinguisher Spray Portable Quick Use for Car & Home,430,430,Tools and Hardware,Safety and Security,Fire Extinguisher,https://fixit.com.bd/wp-content/uploads/2020/01/27-158-web.jpg
26-3425,Extra Large Size Stainless Steel Bowl Strainer Heavy Duty,1378,1450,Kitchen,Cooking and Food Preparation,Strainers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3425A.jpg
23-378,500 ml Metal Nozzle Paint Spray Gun Wynn's Brand,1260,1260,Paint,Paint Supplies,Paint Sprayers,https://fixit.com.bd/wp-content/uploads/2020/01/23-378A.jpg
26-894,5 Liter Farmate Farm Insecticide Spray container,1568,1568,Lawn and Garden,Watering and Irrigation,,https://fixit.com.bd/wp-content/uploads/2020/01/5-Liter-Farmate.jpg
21-151,5 Kg Synthetic Resin Adhesive Fevicol Brand For Use In Furniture Heat & Water Resistant,1514,1514,Paint,Duct Tape Glues and Epoxy,Glues and Epoxy,https://fixit.com.bd/wp-content/uploads/2020/01/21-151A.jpg
18-111,16 Liter Farmate Farm Insecticide Spray container,1758,1850,Lawn and Garden,Garden Tools,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/18-111A.jpg
01-521,19.6 Inch Empty Plastic Tool Box HMBR Brand,2111,2111,Tools and Hardware,Tools Storage,Portable Tool Boxes,https://fixit.com.bd/wp-content/uploads/2020/01/01-521-web.jpg
26-2328,Home T-Leg Adjustable Height 1.5 ft. x 3 ft. Striped Design Cloth Ironing Board,1663,1663,Kitchen,Cleaning and Ironing,Ironing Boards,https://fixit.com.bd/wp-content/uploads/2020/01/26-2328A.jpg
18-112,18 Liter Farmate Farm Insecticide Spray container,2138,2250,Lawn and Garden,Garden Tools,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/18-112A.jpg
18-113,20 Liter Farmate Farm Insecticide Spray container,2613,2750,Lawn and Garden,Garden Tools,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/18-113A.jpg
13-240,16mm Metal Twist Drill Bit Wynn's Brand,1330,1330,Tools and Hardware,Power Tool Accessories,Drill Bits,https://fixit.com.bd/wp-content/uploads/2020/01/13-240-web.jpg
23-494,10.8V 50Hz 0-550RPM Cordless Drill Machine Tolsen Brand,4300,4300,Tools and Hardware,Power Tools,Drill Machine,https://fixit.com.bd/wp-content/uploads/2020/01/tolsen-mini.jpg
05-1065,Silver Color Stainless Steel Adjustable Spring Tension Door Closer EZSET Brand,3977,3977,Tools and Hardware,Door Knobs and Hardware,Door Closers,https://fixit.com.bd/wp-content/uploads/2020/01/05-1065A.jpg
41-004,Steel Metal Wheelbarrow for Heavy Duty Garden & Construction Site Lifting,5300,5300,Qurbani Specials|Lawn and Garden,Wheelbarrows,,https://fixit.com.bd/wp-content/uploads/2020/01/wheelbarrow.jpg
23-495,Lithium Battery 14.4V Cordless Drill Machine Tolsen Brand 50Hz 1300mA Low Voltage 0-350RPM High Voltage 0-1250RPM,7700,7700,Tools and Hardware,Power Tools,Drill Machine,https://fixit.com.bd/wp-content/uploads/2020/01/tolsen3.jpg
29-032,3 Inch Aluminium Foil Tape,302,302,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/Alluiminium-Tape-50mm.jpg
30-070,400ml Silver Red Color Spray Paint Bosny Brand,238,238,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/silver-red.jpg
30-286,400ml Blue Color Spray Paint Bosny Brand,238,238,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/bosny-blue-spray-paint-400cc.jpg
30-412,400ml Signal Red Color Spray Paint Bosny Brand,238,238,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/bosny-signal-red-spray-paint-400cc.jpg
30-519,400ml Pass Red Color Spray Paint Bosny Brand,275,275,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/passred.jpg
30-482,400ml Cream Color Spray Paint Bosny Brand,191,191,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/20160613132709297.jpg
30-205,400ml Yellow Color Spray Paint Bosny Brand,250,250,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/bosny-yellow-spray-paint-400cc.jpg
30-509,400ml Mirror Chrome Spray Paint Bosny Brand,500,531,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/mirrorChrome.jpg
30-141,400 ml Copper Color Spray Paint Bosny Brand,356,356,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/bosny-kt-copper-effect-spray-200cc.jpg
26-2670,125 ml. Lighter Fluid Zippo Brand,219,219,Kitchen,Cooking and Food Preparation,Charcoal Starter and Lighters,https://fixit.com.bd/wp-content/uploads/2020/01/125-ml-lighter-fluid.jpg
23-523,220V-240V 220W 110X100mm 15000r/min Electric Sander Boda Brand,3350,3350,Tools and Hardware,Power Tools,Sander Machine,https://fixit.com.bd/wp-content/uploads/2020/01/23-523.jpg
23-522,220-240V 50/60Hz 400W 14000r/min Aspirator Blower Total Brand,1404,1404,Tools and Hardware,Power Tools,Dust Blower,https://fixit.com.bd/wp-content/uploads/2020/01/23-522.jpg
23-519,220-240V 50Hz 1400W 4800rpm Electric Circular Saw and Cutter Total Brand,5065,5331,Tools and Hardware,Power Tools,Circular Saw,https://fixit.com.bd/wp-content/uploads/2020/01/23-519.jpg
23-517,18V 0.8-10mm 0-1350r/min Li-ion Cordless Impact Drill Total Brand With 53pcs Accessories,9500,9500,Tools and Hardware,Power Tools,Drill Machine,https://fixit.com.bd/wp-content/uploads/2020/01/23-517-1.jpg
23-450,220V 230W 4500rpm Drill Machine Makita Brand,5225,5225,Tools and Hardware,Power Tools,Drill Machine,https://fixit.com.bd/wp-content/uploads/2020/01/23-450.jpg
21-115,750 ml Polyurethane Foam Spray Tiger Brand,710,710,Building Materials,Industrial Sealants,,https://fixit.com.bd/wp-content/uploads/2020/01/foam.jpg
01-1464, 17 Inch Tool Bag Tolsen Brand 80101,1600,1600,Tools and Hardware,Tools Storage,Portable Tool Boxes,https://fixit.com.bd/wp-content/uploads/2020/01/Tool-Bag-Tolsen-Brand-80101.jpg
Fixit-80103, 16 Inch Tool Bag Tolsen Brand 80103,2610,2610,Tools and Hardware,Tools Storage,Portable Tool Boxes,https://fixit.com.bd/wp-content/uploads/2020/01/Tool-Bag-Tolsen-Brand-80103.jpg
21-136,30 ml Super Glue Adhesive Quickfix Brand,76,76,Paint,Duct Tape Glues and Epoxy,Glues and Epoxy,https://fixit.com.bd/wp-content/uploads/2020/01/21-136A.jpg
26-1200 A,500 ml Vanilla Scented Fabric Freshener for Sofa Carpet Curtain & Sheets Zepto Brand,180,180,Cleaning,Household Cleaners,Cloth Cleaners|Cleaning,https://fixit.com.bd/wp-content/uploads/2020/01/lemonfabricfreshener.jpg
15-011,36 Inch Spirit Level HMBR Brand,513,513,Tools and Hardware,Hand Tools,Measure and Layout Tools,https://fixit.com.bd/wp-content/uploads/2020/01/15-011.jpg
18-417,Orange &amp; Black Color Garden Hose Wide Water Spray Gun,656,656,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/18-417A.jpg
26-4109,Foam Mop & Glass Wiper 353028,90,90,Cleaning,Cleaning Tools and Supplies,Mops and Mop Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-4109.jpg
18-418,4pcs Plastic Water Hose Spray Nozzle Gun Set,810,810,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/18-418-1.jpg
26-4129,6 Inch White Color Plastic Handle Hand Brush China Brand,115,115,Cleaning,Cleaning Tools and Supplies,Hand Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-4129-2.jpg
26-4130,6 Inch Pink Color Plastic Handle Hand Brush 838002,50,50,Cleaning,Cleaning Tools and Supplies,Hand Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-4130b.jpg
26-4128,5.5 Inch White Color Plastic Handle Hand Brush China Brand 41388,125,125,Cleaning,Cleaning Tools and Supplies,Hand Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-4128b.jpg
26-4127,6 Inch White Color Cloth Brush with Plastic handle China Brand 41386B,125,125,Cleaning,Cleaning Tools and Supplies,Cloth Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-4127b.jpg
26-4119,Pink Color Plastic Floor cleaning With Long Handle 3093,170,170,Cleaning,Cleaning Tools and Supplies,Floor Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-4119.jpg
26-4118,Plastic Belcha with Brush Long Handle  6601,180,180,Cleaning,Cleaning Tools and Supplies,Floor Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-4118.jpg
26-1492,450 ml Furniture Polish Spray Flamingo Brand,280,280,Cleaning,Household Cleaners,Furniture and Upholstery Cleaners|Cleaning,https://fixit.com.bd/wp-content/uploads/2020/01/IMG_3922.jpg
26-4152,9 Inch Stainless Steel Black Handle Knife Guanhui Brand,35,35,Kitchen,Cooking and Food Preparation,Graters and Peelers,https://fixit.com.bd/wp-content/uploads/2020/01/26-4152.jpg
19-020,1 Inch Metal Hose Clamp (Fit Rubber Pipes with Garden Taps),10,10,Lawn and Garden,Watering and Irrigation,Spray Guns,https://fixit.com.bd/wp-content/uploads/2020/01/19-020-web.jpg
16-017,2 Inch (4 Pcs Packet) Stainless Steel Round Hook Screw In Install,42,42,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/01/16-017A.jpg
16-253,3 Inch 2 Pcs Packet J Shape Screw,22,22,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/01/16-253B-2.jpg
16-322,2 Inch (4 Pcs Packet) Stainless Steel Round Hook Screw,12,12,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/01/16-322.jpg
16-356,12mm (5 Pcs Packet) Iron LN Key Cap Screw,25,25,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-356A-2.jpg
16-832,3/4 Inch (6 Pcs Packet) Stainless Steel Round Hook Screw In Install,14,14,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/01/16-832-b-2.jpg
30-066,400 ml Orange Yellow Color Spray Paint Bosny Brand,242,242,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/20160613113038169.png
30-067,400 ml Lemon Yellow Color Spray Paint Bosny Brand,242,242,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/81LPY9FAEkL.png
20-1779,24 Inch White Color Rechargeable Electrical Mosquito Racket with Torch Light HMBR Brand,375,394,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,https://fixit.com.bd/wp-content/uploads/2020/01/20-1779.jpg
B-218,0.5 Kg Wood Filter Bosny Brand,450,450,Building Materials,,,https://fixit.com.bd/wp-content/uploads/2020/01/wood_filler_B.jpg
30-540,400 ml Olive Green Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/olive-green.jpg
30-885,400 ml Silver Grey Color Spray paint Bosny Brand,250,250,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/silver-grey.jpg
30-886,400 ml Light Grey Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/light-grey.jpg
30-887,400 ml Mazada Color Spray Paint Bosny Brand,250,250,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/mazada.jpg
30-851,400 ml Violet Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/violet-color.jpg
30-852,400 ml Baltic White Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/baltic-white.jpg
30-513,400 ml Royal Ivory Color Spray paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/royal-ivory.jpg
30-541,400 ml Kubota Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/kubota.jpg
30-858,400 ml Suzuki S-16 Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/suzuki.jpg
30-860,400 ml Honda Green Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/honda-green.jpg
30-861,400 ml Ford Tractor Blue Color Spray Paint Bosny Brand,270,270,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/ford-tractor-blue.jpg
30-888,400 ml Honda red Color Spray Paint Bosny Brand,350,350,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/honda-red.jpg
30-536,400 ml Metallic Brown Color Spray Paint Bosny Brand,250,275,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/metallic-brown.jpg
30-842,400 ml Sunset Color Spray Paint Bosny Brand,275,275,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/sunset.jpg
30-8844,Brass Gold Color Spray Paint Bosny Brand,350,350,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/brass-gold.jpg
30-8846,Sparkle Gold Color Spray Paint Bosny Brand,350,350,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/sparkle-gold.jpg
19-996,Stainless Steel Commode Shower Set,1020,1072,Bath and Faucets,Bath Faucets and Shower heads,,https://fixit.com.bd/wp-content/uploads/2020/01/19-996.jpg
30-414,200 CC Stainless Steel Color Spray Paint Bosny Brand,500,500,Paint,Spray Paint,General Purpose,https://fixit.com.bd/wp-content/uploads/2020/01/bosny-gold-spray-paint-400cc.jpg
12-053,Wooden Handle Shoe Brush,56,56,Cleaning,Cleaning Tools and Supplies,Shoe Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/12-053.jpg
05-19195,20 Inch Stainless Steel Ball Bearing Drawer Channel,550,550,Tools and Hardware,Cabinet and Furniture Hardware,Drawer Channel,https://fixit.com.bd/wp-content/uploads/2020/01/20Inch.jpg
05-99598,16 Inch Stainless Steel Ball Bearing Drawer Channel,440,440,Tools and Hardware,Cabinet and Furniture Hardware,Drawer Channel,https://fixit.com.bd/wp-content/uploads/2020/01/16Inch.jpg
27-130,5 Kg Fire Extinguisher Carbon Dioxide (CO2),4500,4500,Tools and Hardware,Safety and Security,Fire Extinguisher,https://fixit.com.bd/wp-content/uploads/2020/01/5kg-CO2-Fire-Extinguisher.jpg
